smhi_channel	smhi_code	smhi_units	myo_scaling	myo_channel	myo_code	units	valid_min	valid_max	standard_name	long_name
88911	CurSp_11_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88912	CurSp_12_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88913	CurSp_13_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88914	CurSp_14_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88915	CurSp_15_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88916	CurSp_16_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88917	CurSp_17_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88918	CurSp_18_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88919	CurSp_19_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88920	CurSp_20_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88921	CurSp_21_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88922	CurSp_22_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88923	CurSp_23_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88924	CurSp_24_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88925	CurSp_25_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88926	CurSp_26_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88927	CurSp_27_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88928	CurSp_28_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88929	CurSp_29_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88930	CurSp_30_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88931	CurSp_31_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88932	CurSp_32_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88933	CurSp_33_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88934	CurSp_34_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88935	CurSp_35_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88936	CurSp_36_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88937	CurSp_37_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88938	CurSp_38_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88939	CurSp_39_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88940	CurSp_40_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88941	CurSp_41_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88942	CurSp_42_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88943	CurSp_43_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88944	CurSp_44_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88945	CurSp_45_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88946	CurSp_46_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88947	CurSp_47_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88948	CurSp_48_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88949	CurSp_49_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88950	CurSp_50_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88951	CurSp_51_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88952	CurSp_52_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88953	CurSp_53_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88954	CurSp_54_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88955	CurSp_55_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88956	CurSp_56_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88957	CurSp_57_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88958	CurSp_58_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88959	CurSp_59_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88960	CurSp_60_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88961	CurSp_61_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88962	CurSp_62_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88963	CurSp_63_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88964	CurSp_64_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88965	CurSp_65_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88966	CurSp_66_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88967	CurSp_67_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88968	CurSp_68_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88969	CurSp_69_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88970	CurSp_70_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88971	CurSp_71_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88972	CurSp_72_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88973	CurSp_73_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88974	CurSp_74_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88975	CurSp_75_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88976	CurSp_76_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88977	CurSp_77_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88978	CurSp_78_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88979	CurSp_79_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88980	CurSp_80_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88981	CurSp_81_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88982	CurSp_82_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88983	CurSp_83_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88984	CurSp_84_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88985	CurSp_85_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88986	CurSp_86_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88987	CurSp_87_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88988	CurSp_88_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88989	CurSp_89_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88990	CurSp_90_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88991	CurSp_91_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88992	CurSp_92_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88993	CurSp_93_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88994	CurSp_94_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88995	CurSp_95_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88996	CurSp_96_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88997	CurSp_97_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88998	CurSp_98_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
88999	CurSp_99_QC	-	1	88184	HCSP_QC	-	0	9	current_speed_qc	HORIZONTAL_CURRENT_SPEED_QC
